nb_pret;jour_pret;annee_pret;type_lecteur;date_pub;indice;titre;ppn;num;mois_pret;id_lecteur
1;Lundi;2015;DO;2013;616;Hépato-gastro-entérologie, chirurgie digestive;PPN172794439;337328;5;person_0
1;Vendredi;2017;L3;2008;375;Réussir l'oral;PPN128881321;111829;6;person_1
1;Mercredi;2017;M2;2016;616;Dossiers transversaux;PPN191878960;398698;3;person_2
1;Mercredi;2017;M2;2011;658;DSCG 2;PPN155930907;339209;11;person_3
1;Samedi;2017;LC;2016;657;DCG 9;PPN193485907;403236;3;person_4
1;Lundi;2015;L1;2001;658;L'essentiel de la gestion;PPN055778550;20380;9;person_5
1;Samedi;2015;L1;2008;658;Stratégique;PPN12450261X;127060;5;person_6
1;Lundi;2016;M1;2011;658;DSCG 2;PPN155930907;339209;9;person_7
1;Mercredi;2018;M2;2015;616;Urologie;PPN188043454;360457;4;person_8
1;Jeudi;2017;M2;2013;616;Hématologie, onco-hématologie, transfusion;PPN174985355;352852;4;person_9
1;Mercredi;2016;M2;2011;658;Travailler à armes égales;PPN15239639X;307453;2;person_10
1;Samedi;2016;L2;2014;658;Manager;PPN180977245;351123;3;person_11
1;Mercredi;2015;L1;2012;616;Ophtalmologie;PPN160366097;314421;6;person_12
1;Vendredi;2019;M2;2018;616;Médecine physique et de réadaptation;PPN231669798;422776;3;person_13
1;Jeudi;2016;M2;2014;658;Manager;PPN180977245;351123;2;person_14
1;Jeudi;2017;M1;2011;658;L'accueil international;PPN157472132;313584;5;person_15
1;Vendredi;2017;M2;2007;658;Le^senior marketing;PPN11737556X;98890;9;person_16
1;Mercredi;2018;M1;2015;658;Marketing management;PPN188188452;401480;9;person_17
1;Lundi;2018;M2;2014;658;Marketing des services;PPN180045903;349423;11;person_18
1;Jeudi;2017;L1;1999;370;Le^rapport au savoir en milieu populaire;PPN045189617;326339;4;person_19
1;Mardi;2017;M2;1994;658;Les^chausse-trappes de la prise de décision;PPN003112578;114039;4;person_20
1;Dimanche;2015;M2;2011;376;Le^CV en langue étrangère;PPN150697449;282162;3;person_21
1;Mardi;2016;M2;2008;658;Qu'est-ce que l'éthique des affaires ?;PPN129679259;126373;11;person_22
1;Mercredi;2015;L3;2013;658;Strategor;PPN17046220X;337197;2;person_23
1;Dimanche;2017;L1;2015;657;Plan comptable général 2015-2016;PPN184378001;358190;2;person_24
1;Mercredi;2018;M2;2016;616;Neurologie;PPN191070955;397925;4;person_25
1;Jeudi;2018;M2;2017;616;ORL;PPN204066603;411106;3;person_26
1;Mardi;2019;M2;2018;616;Gériatrie;PPN231844492;422778;1;person_27
1;Mercredi;2018;L1;2017;616;Médecine interne;PPN204388953;412224;1;person_28
