source,target,usersWhoAlsoWatched
350427,356805,20
356805,350427,20
356805,352194,18
352194,356805,18
350427,350276,18
350276,350427,18
324908,314139,18
314139,324908,18
350427,350269,17
350269,350427,17
314139,313394,16
313394,314139,16
268773,268779,16
268779,268773,16
350916,327223,15
327223,350916,15
350269,352194,15
349614,350427,15
352194,350269,15
350427,349614,15
351161,349614,15
351161,350427,15
349614,351161,15
350427,351161,15
324908,313394,15
313394,324908,15
313394,338648,15
338648,313394,15
324494,313394,14
313394,324494,14
350427,349681,14
349681,350427,14
350427,397620,14
350427,352194,14
349614,352194,14
397620,350427,14
352194,350427,14
349614,350269,14
352194,349614,14
350269,349614,14
394776,360428,13
360428,394776,13
350269,356805,13
356805,350269,13
349614,337586,13
337586,349614,13
356805,350276,13
350276,356805,13
91112,327223,13
327223,91112,13
395698,360428,12
349681,356805,12
335017,356805,12
356805,349681,12
350427,400788,12
360428,395698,12
356805,335017,12
400788,350427,12
356805,351161,12
351161,356805,12
352194,350276,12
350269,350276,12
350276,352194,12
411105,412603,12
350276,350269,12
412603,411105,12
356805,349614,12
349614,356805,12
325634,350427,12
325634,351161,12
350427,325634,12
351161,325634,12
324908,336357,12
336357,324908,12
324494,141394,11
342609,336357,11
336357,342609,11
141394,324494,11
356805,360428,11
397622,360428,11
350427,360428,11
350427,394776,11
360428,356805,11
395698,356805,11
360428,397622,11
356805,395698,11
360428,350427,11
394776,350427,11
411137,412603,11
412603,411137,11
91112,112344,11
112344,91112,11
395698,352194,11
352194,395698,11
360428,397620,11
397620,360428,11
341192,350427,11
350427,341192,11
349614,341192,11
341192,349614,11
342609,324908,11
338648,324908,11
324908,342609,11
324908,338648,11
324908,324494,11
324494,324908,11
342609,348222,10
348222,342609,10
348219,324494,10
324494,348219,10
411381,360428,10
400788,356805,10
356805,400788,10
360428,411381,10
350269,395698,10
395698,350269,10
360428,404398,10
404398,360428,10
411106,411137,10
411137,411106,10
351161,352194,10
352194,351161,10
350269,397620,10
341192,397620,10
411105,397620,10
350427,394790,10
394790,350427,10
397620,350269,10
397620,341192,10
397620,411105,10
349681,341192,10
352194,324914,10
324914,352194,10
341192,349681,10
325634,349614,10
351161,350269,10
350269,351161,10
349614,325634,10
354754,356797,10
356797,354754,10
350821,314193,10
314193,350821,10
313393,324908,10
348222,324908,10
324908,313393,10
324908,348222,10
314139,119055,10
313394,119055,10
119055,314139,10
119055,313394,10
401478,403231,10
403231,401478,10
336357,348222,9
324494,348222,9
348222,336357,9
348222,324494,9
352190,339209,9
339209,352190,9
360427,354874,9
404789,360428,9
350269,360428,9
356805,354861,9
356805,394776,9
350427,346381,9
411381,411105,9
354861,356805,9
394776,356805,9
397622,356805,9
356805,397622,9
350427,397622,9
354874,360427,9
360428,404789,9
411105,411381,9
360428,350269,9
346381,350427,9
397622,350427,9
412603,404398,9
412603,360428,9
411137,360428,9
404398,412603,9
360428,412603,9
360428,411137,9
411106,411124,9
411124,411106,9
325633,352194,9
354861,352194,9
352194,325633,9
356805,325633,9
352194,354861,9
325633,356805,9
397620,350276,9
360428,350276,9
394776,350276,9
349614,350276,9
350276,397620,9
337586,352194,9
360428,352194,9
394776,352194,9
350269,394790,9
352194,337586,9
350427,337586,9
350276,360428,9
352194,360428,9
397887,360428,9
337586,350427,9
397886,350427,9
350276,394776,9
352194,394776,9
397887,394776,9
394790,350269,9
350427,397886,9
360428,397887,9
394776,397887,9
350276,349614,9
356805,397620,9
397620,356805,9
349681,349614,9
350427,324914,9
324914,350427,9
349681,352194,9
349614,349681,9
352194,349681,9
325634,356805,9
356805,325634,9
314139,336357,9
336357,314139,9
352194,404398,9
404398,352194,9
324494,338648,9
338648,324494,9
119055,324494,9
324908,348219,9
324494,119055,9
348219,324908,9
403230,403218,9
403218,403230,9
112344,327223,9
327223,112344,9
350916,112344,9
112344,350916,9
403122,404427,9
404427,403122,9
313393,313394,8
324494,324496,8
324494,342610,8
324494,336357,8
324496,324494,8
342610,324494,8
336357,324494,8
313394,313393,8
360428,354874,8
411105,354874,8
356805,354874,8
350427,354874,8
354874,360428,8
411105,360428,8
404795,360428,8
350427,354861,8
397622,394776,8
395698,394776,8
350269,394776,8
350269,346381,8
356805,354896,8
354874,411105,8
360428,411105,8
397622,411105,8
350427,411105,8
350269,351199,8
356805,352987,8
354874,356805,8
354896,356805,8
352987,356805,8
404795,356805,8
324905,356805,8
394776,397622,8
411105,397622,8
411106,397622,8
360428,404795,8
356805,404795,8
349681,404795,8
395698,360427,8
356805,324905,8
350427,324905,8
404795,349681,8
350269,349681,8
397622,411106,8
394776,395698,8
360427,395698,8
394776,350269,8
346381,350269,8
351199,350269,8
349681,350269,8
354874,350427,8
354861,350427,8
411105,350427,8
324905,350427,8
412603,397622,8
411137,397622,8
397622,412603,8
397622,411137,8
411124,411137,8
411137,411124,8
397887,399693,8
356805,338270,8
352194,324905,8
324905,352194,8
352987,352194,8
354874,352194,8
352194,352987,8
399693,397887,8
356805,397887,8
352194,354874,8
338270,356805,8
397887,356805,8
394790,350276,8
404390,395698,8
397620,411381,8
411381,397620,8
352194,397620,8
360427,397620,8
394776,397620,8
397620,352194,8
394790,352194,8
350276,394790,8
352194,394790,8
360428,394790,8
349614,394790,8
341192,337586,8
394790,360428,8
397620,360427,8
397620,394776,8
341192,350269,8
337586,341192,8
350269,341192,8
395698,404390,8
397887,397886,8
397886,397887,8
411137,411105,8
411105,411137,8
394790,349614,8
404398,397620,8
400788,397620,8
397620,404398,8
350276,352994,8
397620,400788,8
350276,400788,8
352994,350276,8
400788,350276,8
350427,354885,8
356805,341192,8
324914,349614,8
341192,356805,8
349614,324914,8
354885,350427,8
325634,350269,8
350269,325634,8
346381,325634,8
325634,346381,8
71710,327223,8
327223,71710,8
354756,337180,8
337180,354756,8
309302,314193,8
314193,309302,8
350276,349681,8
331750,331755,8
332000,331755,8
332000,331999,8
331755,331750,8
331755,332000,8
331999,332000,8
349681,350276,8
331999,324914,8
324905,324914,8
331996,331755,8
324914,331999,8
324914,324905,8
331755,331996,8
338648,342609,8
314139,342609,8
342609,338648,8
314139,338648,8
342609,314139,8
338648,314139,8
91112,350916,8
350916,91112,8
351199,352194,8
352194,351199,8
339171,339196,8
339196,339171,8
348219,338648,8
338648,348219,8
313394,356547,7
324494,356547,7
313394,348221,7
356550,348221,7
141394,348221,7
356547,313394,7
348221,313394,7
348222,313394,7
324496,313394,7
141394,313394,7
342609,313394,7
348221,356550,7
313394,348222,7
141394,348222,7
313393,348222,7
313394,324496,7
348221,141394,7
313394,141394,7
348222,141394,7
342609,342610,7
313394,342609,7
342610,342609,7
324494,342609,7
348219,342609,7
356547,324494,7
342609,324494,7
