Desc Bibliothèque;Desc Statut Exemplaire;ID Statut Exemplaire;Titre;No de Notice BIB;Desc4;Desc5;Auteur;Date Publication;Desc Format
BU St-Jean;En rayon;19;La^Théorie des jeux;222086;PPN000117307;PPN000117307;Plon, Michel;1976;Books
BU St-Jean;En rayon;19;Théorie des jeux pour l'économie et la politique;217008;PPN000494410;PPN000494410;Moulin, Hervé (1950-....);1981;Books
BU St-Jean;En rayon;19;Mathématiques et informatique;149973;PPN00123353X;PPN00123353X;Monasse, Denis;1988;Books
BU St-Jean;En rayon;19;Analyse non standard;219632;PPN001680587;PPN001680587;Diener, Francine;1989;Books
BU St-Jean;En rayon;19;Microéconomie;193280;PPN002355345;PPN002355345;Kirman, Alan;1991;Books
BU St-Jean;En rayon;19;Algèbre linéaire pour économistes;200415;PPN002403757;PPN002403757;Guerrien, Bernard;1991;Books
BU St-Jean;En rayon;19;Analyse mathématique pour économistes;166470;PPN002598299;PPN002598299;Archinard, Gabriel;1992;Books
BU St-Jean;En rayon;20;Analyse mathématique pour économistes;166470;PPN002598299;PPN002598299;Archinard, Gabriel;1992;Books
BU St-Jean;En rayon;19;Fondements microéconomiques de la théorie des marchés financiers;228683;PPN002724871;PPN002724871;Kast, Robert (1948-....);1992;Books
BU St-Jean;En rayon;19;Probabilités;151400;PPN003325636;PPN003325636;Lipschutz, Seymour (1931-....);1973;Books
BU St-Jean;En rayon;19;Séries temporelles et modèles dynamiques;233421;PPN003886956;PPN003886956;Gourieroux, Christian (1949-....);1995;Books
BU St-Jean;En rayon;19;Exercices corrigés en théorie des probabilités;251546;PPN003975428;PPN003975428;Ansel, Jean-Pascal;1996;Books
BU St-Jean;En rayon;19;Maths HEC;254868;PPN00399774X;PPN00399774X;Moreau, Yves (1960-....);1996;Books
BU St-Jean;En rayon;19;Introduction to mathematical finance;254206;PPN00434409X;PPN00434409X;Pliska, Stanley R.;1997;Books
BU St-Jean;En rayon;19;Methods of mathematical finance;4409;PPN004535111;PPN004535111;Karatzas, Ioannis (1952-....);1998;Books
BU St-Jean;En rayon;19;Théorie des questionnaires;266055;PPN004864654;PPN004864654;Picard, Claude-François (1926-....);1965;Books
BU St-Jean;En rayon;19;Théorie des graphes et structures sociales;201828;PPN006094414;PPN006094414;Flament, Claude;1965;Books
BU St-Jean;En rayon;19;Théorie des graphes et ses applications;266072;PPN007608756;PPN007608756;Berge, Claude (1926-2002);1963;Books
BU St-Jean;En rayon;19;Introduction au calcul stochastique appliqué à la finance;257974;PPN008056366;PPN008056366;Lamberton, Damien;1997;Books
BU St-Jean;En rayon;19;Game theory and related approaches to social behavior;266093;PPN014408422;PPN014408422;;1964;Books
